Id,Name,Type,Rarity,Introduction,skillGemParam ID
0,--------,Material,rare1,Unavailable,
1,Potion,Normal,rare1,Restores a small amount of health.,
2,Mega Potion,Normal,rare2,Restores a moderate amount of health.,
3,Max Potion,Normal,rare3,Fully restores health and maximizes the size of your Health Gauge.,
4,Ancient Potion,Normal,rare5,Fully restores health and maximizes the size of your Health and Stamina Gauges.,
5,Antidote,Normal,rare1,A cure for poison.,
6,Herbal Medicine,Normal,rare2,Removes all traces of poison and restores a slight amount of health.,
7,Nulberry,Normal,rare2,A mysterious berry that cures various blights.,
8,Energy Drink,Normal,rare2,"A Guild-approved beverage that boosts your stamina. Helps shake off sleep, too!",
9,Ration,Normal,rare1,Food that restores a bit of stamina.,
10,Rare Steak,Normal,rare1,Provides a moderate boost to your stamina. This one's still red in the middle.,
11,Well-done Steak,Normal,rare2,Provides a moderate boost to your stamina and keeps it at max for a longer period. Meat done right!,
12,Burnt Meat,Normal,rare1,Provides a small boost to your stamina. Can be eaten quickly.,
13,Cool Drink,Normal,rare1,Provides temporary relief from extreme heat.,
14,Nutrients,Normal,rare2,Very slightly increases your maximum health level.,
15,Mega Nutrients,Normal,rare3,Slightly increases your maximum health level.,
16,Immunizer,Normal,rare3,Boosts your natural ability to heal.,
17,Astera Jerky,Normal,rare2,"Juicy, dried meat made by Astera's chef. Boosts natural healing and cures bleeding.",
18,Dash Juice,Normal,rare2,Dulls one's sense of exhaustion. Reduces stamina depletion for a time.,
19,Mega Dash Juice,Normal,rare3,Lets you dash without tiring for longer than regular dash juice does.,
20,Might Seed,Normal,rare2,Temporarily strengthens your attacks when ingested by improving energy flow.,
21,Demondrug,Normal,rare4,Boosts your attack power by filling you with—guess what?—demonic strength.,
22,Mega Demondrug,Normal,rare5,Boosts your attack power even more than a regular Demondrug.,
23,Might Pill,Normal,rare4,Temporarily endows you with the strength of a mighty god. Potent!,
24,Adamant Seed,Normal,rare2,Temporarily raises your defense when ingested by hardening tissue.,
25,Armorskin,Normal,rare4,Boosts your defense by turning your skin as hard as rock.,
26,Mega Armorskin,Normal,rare5,Boosts your defense even more than a regular armorskin.,
27,Adamant Pill,Normal,rare4,Temporarily makes your skin as hard as adamant. Potent!,
28,Lifepowder,Normal,rare4,Produces a healing cloud in the area around the user.,
29,Herbal Powder,Normal,rare4,A mysterious powder that produces a cloud around the area that restores health and neutralizes poison.,
30,Demon Powder,Normal,rare4,A mysterious powder that produces a cloud around the area that temporarily strengthens attacks.,
31,Hardshell Powder,Normal,rare4,A mysterious powder that produces a cloud around the area that temporarily strengthens defense.,
32,Honey,Normal,rare2,Highly nutritious honey. Combine this with Potions to craft Mega Potions for maximum potency.,
33,Herb,Normal,rare1,A primary ingredient in potions.,
34,Antidote Herb,Normal,rare1,A primary ingredient in antidotes.,
35,Fire Herb,Normal,rare2,"A wondrous, flammable plant. Useful for crafting explosives.",
36,Flowfern,Normal,rare1,This plant's leaves store a great amount of water. A component for making Water Ammo.,
37,Snow Herb,Normal,rare2,A plant that radiates ice-cold air. Use in combinations to create freeze ammo.,
38,Sleep Herb,Normal,rare1,A plant containing sleeping agents. Used to craft tranquilizers.,
39,Ivy,Normal,rare1,A lightweight and extremely strong plant. Used to make nets for pitfall traps.,
40,Smokenut,Normal,rare1,A nut that produces a copious amount of smoke. Combine with other items to create smoke with various properties.,
41,Dragonfell Berry,Normal,rare4,"A mysterious berry, rumored for eons to be loathed by dragons. Required to craft Dragon Ammo.",
42,Blue Mushroom,Normal,rare2,A mushroom infused with power-enhancing effects. Used in restorative items.,
43,Mandragora,Normal,rare3,A dangerous fungus said to draw the life out of people. Beware. Required to craft Max Potions.,
44,Nitroshroom,Normal,rare2,A hard-to-find mushroom with the power to generate blazing heat. Required to craft Gunpowder.,
45,Devil's Blight,Normal,rare2,A very rare fungus that pulses with extreme heat. Add to a barrel bomb for a dramatically stronger blast.,
